season,team,matches_played,goals_for_per_game,goals_against_per_game,goal_difference_per_game,points_per_game
2016-17,Chelsea,38,2.237,0.868,1.368,2.447
2016-17,Tottenham,38,2.263,0.684,1.579,2.263
2016-17,Man City,38,2.105,1.026,1.079,2.053
2016-17,Liverpool,38,2.053,1.105,0.947,2.000
2016-17,Arsenal,38,2.026,1.158,0.868,1.974
2016-17,Man United,38,1.421,0.763,0.658,1.816
2016-17,Everton,38,1.632,1.158,0.474,1.605
2016-17,Bournemouth,38,1.447,1.763,-0.316,1.211
2016-17,Southampton,38,1.079,1.263,-0.184,1.211
2016-17,West Ham,38,1.237,1.684,-0.447,1.184
2016-17,West Brom,38,1.132,1.342,-0.211,1.184
2016-17,Leicester,38,1.263,1.658,-0.395,1.158
2016-17,Stoke,38,1.079,1.474,-0.395,1.158
2016-17,Crystal Palace,38,1.316,1.658,-0.342,1.079
2016-17,Swansea,38,1.184,1.842,-0.658,1.079
2016-17,Burnley,38,1.026,1.447,-0.421,1.053
2016-17,Watford,38,1.053,1.789,-0.737,1.053
2016-17,Hull,38,0.974,2.105,-1.132,0.895
2016-17,Middlesbrough,38,0.711,1.395,-0.684,0.737
2016-17,Sunderland,38,0.763,1.816,-1.053,0.632
2017-18,Man City,38,2.789,0.711,2.079,2.632
2017-18,Man United,38,1.789,0.737,1.053,2.132
2017-18,Tottenham,38,1.947,0.947,1.000,2.026
2017-18,Liverpool,38,2.211,1.000,1.211,1.974
2017-18,Chelsea,38,1.632,1.000,0.632,1.842
2017-18,Arsenal,38,1.947,1.342,0.605,1.658
2017-18,Burnley,38,0.947,1.026,-0.079,1.421
2017-18,Everton,38,1.158,1.526,-0.368,1.289
2017-18,Leicester,38,1.474,1.579,-0.105,1.237
2017-18,Crystal Palace,38,1.184,1.447,-0.263,1.158
2017-18,Bournemouth,38,1.184,1.605,-0.421,1.158
2017-18,Newcastle,38,1.026,1.237,-0.211,1.158
2017-18,West Ham,38,1.263,1.789,-0.526,1.105
2017-18,Watford,38,1.158,1.684,-0.526,1.079
2017-18,Brighton,38,0.895,1.421,-0.526,1.053
2017-18,Huddersfield,38,0.737,1.526,-0.789,0.974
2017-18,Southampton,38,0.974,1.474,-0.500,0.947
2017-18,Stoke,38,0.921,1.789,-0.868,0.868
2017-18,Swansea,38,0.737,1.474,-0.737,0.868
2017-18,West Brom,38,0.816,1.474,-0.658,0.816
2018-19,Man City,38,2.500,0.605,1.895,2.579
2018-19,Liverpool,38,2.342,0.579,1.763,2.553
2018-19,Chelsea,38,1.658,1.026,0.632,1.895
2018-19,Tottenham,38,1.763,1.026,0.737,1.868
2018-19,Arsenal,38,1.921,1.342,0.579,1.842
2018-19,Man United,38,1.711,1.421,0.289,1.737
2018-19,Wolves,38,1.237,1.211,0.026,1.500
2018-19,Everton,38,1.421,1.211,0.211,1.421
2018-19,West Ham,38,1.368,1.447,-0.079,1.368
2018-19,Leicester,38,1.342,1.263,0.079,1.368
2018-19,Watford,38,1.368,1.553,-0.184,1.316
2018-19,Crystal Palace,38,1.342,1.395,-0.053,1.289
2018-19,Newcastle,38,1.105,1.263,-0.158,1.184
2018-19,Bournemouth,38,1.474,1.842,-0.368,1.184
2018-19,Burnley,38,1.184,1.789,-0.605,1.053
2018-19,Southampton,38,1.184,1.711,-0.526,1.026
2018-19,Brighton,38,0.921,1.579,-0.658,0.947
2018-19,Cardiff,38,0.895,1.816,-0.921,0.895
2018-19,Fulham,38,0.895,2.132,-1.237,0.684
2018-19,Huddersfield,38,0.579,2.000,-1.421,0.421
2019-20,Liverpool,38,2.237,0.868,1.368,2.605
2019-20,Man City,38,2.684,0.921,1.763,2.132
2019-20,Chelsea,38,1.816,1.421,0.395,1.737
2019-20,Man United,38,1.737,0.947,0.789,1.737
2019-20,Leicester,38,1.763,1.079,0.684,1.632
2019-20,Tottenham,38,1.605,1.237,0.368,1.553
2019-20,Wolves,38,1.342,1.053,0.289,1.553
2019-20,Arsenal,38,1.474,1.263,0.211,1.474
2019-20,Burnley,38,1.132,1.316,-0.184,1.421
2019-20,Sheffield United,38,1.026,1.026,0.000,1.421
2019-20,Southampton,38,1.342,1.579,-0.237,1.368
2019-20,Everton,38,1.158,1.474,-0.316,1.289
2019-20,Newcastle,38,1.000,1.526,-0.526,1.158
2019-20,Crystal Palace,38,0.816,1.316,-0.500,1.132
2019-20,Brighton,38,1.026,1.421,-0.395,1.079
2019-20,West Ham,38,1.289,1.632,-0.342,1.026
2019-20,Aston Villa,38,1.079,1.763,-0.684,0.921
2019-20,Watford,38,0.947,1.684,-0.737,0.895
2019-20,Bournemouth,38,1.053,1.711,-0.658,0.895
2019-20,Norwich,38,0.684,1.974,-1.289,0.553
2020-21,Man City,38,2.184,0.842,1.342,2.263
2020-21,Man United,38,1.921,1.158,0.763,1.947
2020-21,Liverpool,38,1.789,1.105,0.684,1.816
2020-21,Chelsea,38,1.526,0.947,0.579,1.763
2020-21,Leicester,38,1.789,1.316,0.474,1.737
2020-21,West Ham,38,1.632,1.237,0.395,1.711
2020-21,Tottenham,38,1.789,1.184,0.605,1.632
2020-21,Arsenal,38,1.447,1.026,0.421,1.605
2020-21,Leeds,38,1.632,1.421,0.211,1.553
2020-21,Everton,38,1.237,1.263,-0.026,1.553
2020-21,Aston Villa,38,1.447,1.211,0.237,1.447
2020-21,Wolves,38,0.947,1.368,-0.421,1.184
2020-21,Newcastle,38,1.211,1.632,-0.421,1.184
2020-21,Crystal Palace,38,1.079,1.737,-0.658,1.158
2020-21,Southampton,38,1.237,1.789,-0.553,1.132
2020-21,Brighton,38,1.053,1.211,-0.158,1.079
2020-21,Burnley,38,0.868,1.447,-0.579,1.026
2020-21,Fulham,38,0.711,1.395,-0.684,0.737
2020-21,West Brom,38,0.921,2.000,-1.079,0.684
2020-21,Sheffield United,38,0.526,1.658,-1.132,0.605
2021-22,Man City,38,2.605,0.684,1.921,2.447
2021-22,Liverpool,38,2.474,0.684,1.789,2.421
2021-22,Chelsea,38,2.000,0.868,1.132,1.947
2021-22,Tottenham,38,1.816,1.053,0.763,1.868
2021-22,Arsenal,38,1.605,1.263,0.342,1.816
2021-22,Man United,38,1.500,1.500,0.000,1.526
2021-22,West Ham,38,1.579,1.342,0.237,1.474
2021-22,Leicester,38,1.632,1.553,0.079,1.368
2021-22,Wolves,38,1.000,1.132,-0.132,1.342
2021-22,Brighton,38,1.105,1.158,-0.053,1.342
2021-22,Newcastle,38,1.158,1.632,-0.474,1.289
2021-22,Crystal Palace,38,1.316,1.211,0.105,1.263
2021-22,Brentford,38,1.263,1.474,-0.211,1.211
2021-22,Aston Villa,38,1.368,1.421,-0.053,1.184
2021-22,Southampton,38,1.132,1.763,-0.632,1.053
2021-22,Everton,38,1.132,1.737,-0.605,1.026
2021-22,Leeds,38,1.105,2.079,-0.974,1.000
2021-22,Burnley,38,0.895,1.395,-0.500,0.921
2021-22,Watford,38,0.895,2.026,-1.132,0.605
2021-22,Norwich,38,0.605,2.211,-1.605,0.579
2022-23,Man City,38,2.474,0.868,1.605,2.342
2022-23,Arsenal,38,2.316,1.132,1.184,2.211
2022-23,Man United,38,1.526,1.132,0.395,1.974
2022-23,Newcastle,38,1.789,0.868,0.921,1.868
2022-23,Liverpool,38,1.974,1.237,0.737,1.763
2022-23,Brighton,38,1.895,1.395,0.500,1.632
2022-23,Aston Villa,38,1.342,1.211,0.132,1.605
2022-23,Tottenham,38,1.842,1.658,0.184,1.579
2022-23,Brentford,38,1.526,1.211,0.316,1.553
2022-23,Fulham,38,1.447,1.395,0.053,1.368
2022-23,Crystal Palace,38,1.053,1.289,-0.237,1.184
2022-23,Chelsea,38,1.000,1.237,-0.237,1.158
2022-23,Wolves,38,0.816,1.526,-0.711,1.079
2022-23,West Ham,38,1.105,1.447,-0.342,1.053
2022-23,Bournemouth,38,0.974,1.868,-0.895,1.026
2022-23,Nott'm Forest,38,1.000,1.789,-0.789,1.000
2022-23,Everton,38,0.895,1.500,-0.605,0.947
2022-23,Leicester,38,1.342,1.789,-0.447,0.895
2022-23,Leeds,38,1.263,2.053,-0.789,0.816
2022-23,Southampton,38,0.947,1.921,-0.974,0.658
2023-24,Man City,38,2.526,0.895,1.632,2.395
2023-24,Arsenal,38,2.395,0.763,1.632,2.342
2023-24,Liverpool,38,2.263,1.079,1.184,2.158
2023-24,Aston Villa,38,2.000,1.605,0.395,1.789
2023-24,Tottenham,38,1.947,1.605,0.342,1.737
2023-24,Chelsea,38,2.026,1.658,0.368,1.658
2023-24,Man United,38,1.500,1.526,-0.026,1.579
2023-24,Newcastle,38,2.237,1.632,0.605,1.579
2023-24,West Ham,38,1.579,1.947,-0.368,1.368
2023-24,Crystal Palace,38,1.500,1.526,-0.026,1.289
2023-24,Everton,38,1.053,1.342,-0.289,1.263
2023-24,Brighton,38,1.447,1.632,-0.184,1.263
2023-24,Bournemouth,38,1.421,1.763,-0.342,1.263
2023-24,Fulham,38,1.447,1.605,-0.158,1.237
2023-24,Wolves,38,1.316,1.711,-0.395,1.211
2023-24,Brentford,38,1.474,1.711,-0.237,1.026
2023-24,Nott'm Forest,38,1.289,1.763,-0.474,0.947
2023-24,Luton,38,1.368,2.237,-0.868,0.684
2023-24,Burnley,38,1.079,2.053,-0.974,0.632
2023-24,Sheffield United,38,0.921,2.737,-1.816,0.421
2024-25,Liverpool,38,2.263,1.079,1.184,2.211
2024-25,Arsenal,38,1.816,0.895,0.921,1.947
2024-25,Man City,38,1.895,1.158,0.737,1.868
2024-25,Chelsea,38,1.684,1.132,0.553,1.816
2024-25,Aston Villa,38,1.526,1.342,0.184,1.737
2024-25,Newcastle,38,1.789,1.237,0.553,1.737
2024-25,Nott'm Forest,38,1.526,1.211,0.316,1.711
2024-25,Brighton,38,1.737,1.553,0.184,1.605
2024-25,Bournemouth,38,1.526,1.211,0.316,1.474
2024-25,Brentford,38,1.737,1.500,0.237,1.474
2024-25,Fulham,38,1.421,1.421,0.000,1.421
2024-25,Crystal Palace,38,1.342,1.342,0.000,1.395
2024-25,Everton,38,1.105,1.158,-0.053,1.263
2024-25,West Ham,38,1.211,1.632,-0.421,1.132
2024-25,Wolves,38,1.421,1.816,-0.395,1.105
2024-25,Man United,38,1.158,1.421,-0.263,1.105
2024-25,Tottenham,38,1.684,1.711,-0.026,1.000
2024-25,Leicester,38,0.868,2.105,-1.237,0.658
2024-25,Ipswich,38,0.947,2.158,-1.211,0.579
2024-25,Southampton,38,0.684,2.263,-1.579,0.316
2025-26,Arsenal,38,1.868,0.711,1.158,2.237
2025-26,Man City,38,2.026,0.921,1.105,2.053
2025-26,Man United,38,1.816,1.316,0.500,1.868
2025-26,Aston Villa,38,1.474,1.289,0.184,1.711
2025-26,Liverpool,38,1.658,1.395,0.263,1.579
2025-26,Bournemouth,38,1.526,1.421,0.105,1.500
2025-26,Sunderland,38,1.105,1.263,-0.158,1.421
2025-26,Brighton,38,1.368,1.211,0.158,1.395
2025-26,Brentford,38,1.447,1.368,0.079,1.395
2025-26,Chelsea,38,1.526,1.368,0.158,1.368
2025-26,Fulham,38,1.237,1.342,-0.105,1.368
2025-26,Everton,38,1.237,1.316,-0.079,1.289
2025-26,Newcastle,38,1.395,1.447,-0.053,1.289
2025-26,Leeds,38,1.289,1.474,-0.184,1.237
2025-26,Crystal Palace,38,1.079,1.342,-0.263,1.184
2025-26,Nott'm Forest,38,1.263,1.342,-0.079,1.158
2025-26,Tottenham,38,1.263,1.500,-0.237,1.079
2025-26,West Ham,38,1.211,1.711,-0.500,1.026
2025-26,Burnley,38,1.000,1.974,-0.974,0.579
2025-26,Wolves,38,0.711,1.789,-1.079,0.526
