predicted_position,team,average_position,average_points,title_probability,top4_probability,relegation_probability
1,Man City,1.58,82.7,50.5,99.8,0.0
2,Arsenal,1.63,82.5,47.2,99.6,0.0
3,Liverpool,3.68,68.0,2.0,80.8,0.0
4,Chelsea,6.23,59.8,0.2,37.1,0.4
5,Newcastle,7.54,56.6,0.0,22.0,1.1
6,Brighton,8.54,54.4,0.0,14.3,2.1
7,Hull,9.51,52.8,0.0,9.3,3.3
8,Brentford,9.78,52.1,0.0,8.4,4.0
9,Man United,9.78,52.1,0.0,8.9,4.0
10,Aston Villa,10.56,50.7,0.0,5.8,5.9
11,Tottenham,12.31,47.6,0.0,3.0,12.9
12,Bournemouth,12.54,47.2,0.0,2.2,13.4
13,Nott'm Forest,12.8,46.8,0.0,2.2,15.2
14,Coventry,13.21,46.1,0.0,1.8,18.6
15,Everton,13.8,44.9,0.0,1.1,21.5
16,Fulham,13.81,44.8,0.0,0.9,22.3
17,Crystal Palace,14.08,44.5,0.0,1.1,24.0
18,Sunderland,14.12,44.4,0.0,1.0,24.2
19,Leeds,14.7,43.4,0.0,0.6,29.0
20,Ipswich,19.78,26.2,0.0,0.0,98.0
